uti_group,age_group,sex_group,abx_scenario,parameter,value,distribution,shape,scale,description,reference,abx_guidelines,updated - deterministic,updated - psa,note for psa,,,,,,,,,,,
all,all,all,all,n.cycles,10000,NA,,,number of cycles,Assumption,,y,na,,,,,,,,,,,,
all,all,all,all,cost.standardtest.U,15.67,uniform,11.75,19.59,cost of conducting dipstick + culture (one off),table ref,,y,y,plus minus 25%,,,,,,,,,,,
all,all,all,all,cost.ifast.U,15.67,uniform,11.75,19.59,cost of conducting dipstick + iFAST (one off),table ref,,y,y,plus minus 25%,,,,,,,,,,,
all,all,all,all,cost.bed.general,24.6,uniform,18.42,30.78,hourly cost of a general bedday,table ref,,y,y,from literature,,,,,,,,,,,
all,all,all,all,cost.bed.icu,85.07,uniform,63.8,106.34,hourly cost of an icu bedday,table ref,,y,y,from literature,,,,,,,,,,,
uncomplicated,all,all,all,prop.uti.icu,0,uniform,0,0.139,proportion of uti patients in icu to weight unit costs,Assumption,,y,y,set max same as deterministic complicated - min 0,,,,,,,,,,,
complicated_IV,all,all,all,prop.uti.icu,0.139,uniform,0.10425,0.17375,proportion of uti patients in icu to weight unit costs,﻿Eliakim-Raz 2019,,y,y,plus minus 25%,,,,,,,,,,,
complicated_oral,all,all,all,prop.uti.icu,0.139,uniform,0.10425,0.17375,proportion of uti patients in icu to weight unit costs,﻿Eliakim-Raz 2019,,y,y,plus minus 25%,,,,,,,,,,,
all,all,all,all,prop.bsi.icu,0.0795,uniform,0.059625,0.099375,proportion of bsi patients in icu,table ref,,y,y,plus minus 25%,,,,,,,,,,,
all,all,all,all,q.ruti,0.63,beta,129.5527,62.5388,,Nichola thesis,,y,y,thesis,,,,,,,,,,,
all,all,all,all,q.suti,0.674,beta,147.1142,86.1642,,Nichola thesis,,y,y,thesis,,,,,,,,,,,
all,all,all,all,q.nouti,0.858,beta,55.6619,9.1594,,Nichola thesis,,y,y,thesis,,,,,,,,,,,
all,all,all,all,q.bsi.dec,0.18665,lnormal.95,0.047615,0.279975,,used similar distribution as for uti qol decrements,,y,y,used similar distribution as for uti qol decrements,,,,,,,,,,,
all,all,all,all,p.uti2bsi,0.000003,gamma,0.38954,34470.07,probability of transitioning to bsi,﻿Shallcross 2020,,y,y,literature,,,,,,,,,,,
all,all,all,all,t.current,49,NA,,,hours for current testing results,48 hours +1,,y,na,,,,,,,,,,,,
all,all,all,all,t.ifast,6,NA,,,hours for iFAST testing results,5 hours +1,,y,na,,,,,,,,,,,,
