"","WTP","group","pCE"
"1",0,"current",0.254
"2",1000,"current",0.227
"3",2000,"current",0.206
"4",3000,"current",0.199
"5",4000,"current",0.185
"6",5000,"current",0.175
"7",6000,"current",0.174
"8",7000,"current",0.168
"9",8000,"current",0.163
"10",9000,"current",0.158
"11",10000,"current",0.154
"12",11000,"current",0.152
"13",12000,"current",0.149
"14",13000,"current",0.147
"15",14000,"current",0.143
"16",15000,"current",0.14
"17",16000,"current",0.139
"18",17000,"current",0.137
"19",18000,"current",0.137
"20",19000,"current",0.135
"21",20000,"current",0.131
"22",21000,"current",0.131
"23",22000,"current",0.13
"24",23000,"current",0.128
"25",24000,"current",0.127
"26",25000,"current",0.127
"27",26000,"current",0.127
"28",27000,"current",0.126
"29",28000,"current",0.126
"30",29000,"current",0.126
"31",30000,"current",0.126
"32",31000,"current",0.125
"33",32000,"current",0.125
"34",33000,"current",0.125
"35",34000,"current",0.126
"36",35000,"current",0.126
"37",36000,"current",0.125
"38",37000,"current",0.124
"39",38000,"current",0.124
"40",39000,"current",0.123
"41",40000,"current",0.123
"42",41000,"current",0.123
"43",42000,"current",0.123
"44",43000,"current",0.123
"45",44000,"current",0.121
"46",45000,"current",0.121
"47",46000,"current",0.12
"48",47000,"current",0.119
"49",48000,"current",0.119
"50",49000,"current",0.12
"51",50000,"current",0.119
"52",0,"ifast",0.746
"53",1000,"ifast",0.773
"54",2000,"ifast",0.794
"55",3000,"ifast",0.801
"56",4000,"ifast",0.815
"57",5000,"ifast",0.825
"58",6000,"ifast",0.826
"59",7000,"ifast",0.832
"60",8000,"ifast",0.837
"61",9000,"ifast",0.842
"62",10000,"ifast",0.846
"63",11000,"ifast",0.848
"64",12000,"ifast",0.851
"65",13000,"ifast",0.853
"66",14000,"ifast",0.857
"67",15000,"ifast",0.86
"68",16000,"ifast",0.861
"69",17000,"ifast",0.863
"70",18000,"ifast",0.863
"71",19000,"ifast",0.865
"72",20000,"ifast",0.869
"73",21000,"ifast",0.869
"74",22000,"ifast",0.87
"75",23000,"ifast",0.872
"76",24000,"ifast",0.873
"77",25000,"ifast",0.873
"78",26000,"ifast",0.873
"79",27000,"ifast",0.874
"80",28000,"ifast",0.874
"81",29000,"ifast",0.874
"82",30000,"ifast",0.874
"83",31000,"ifast",0.875
"84",32000,"ifast",0.875
"85",33000,"ifast",0.875
"86",34000,"ifast",0.874
"87",35000,"ifast",0.874
"88",36000,"ifast",0.875
"89",37000,"ifast",0.876
"90",38000,"ifast",0.876
"91",39000,"ifast",0.877
"92",40000,"ifast",0.877
"93",41000,"ifast",0.877
"94",42000,"ifast",0.877
"95",43000,"ifast",0.877
"96",44000,"ifast",0.879
"97",45000,"ifast",0.879
"98",46000,"ifast",0.88
"99",47000,"ifast",0.881
"100",48000,"ifast",0.881
"101",49000,"ifast",0.88
"102",50000,"ifast",0.881
