"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit","parameter","univariate_scenario"
"1","current",2944715182.70602,120328.714426708,0,0,0,"all_all_all_cost.standardtest.U","low"
"2","iFAST",2945074912.96261,120142.733907369,359730.256591797,185.980519339428,3359880.13019676,"all_all_all_cost.standardtest.U","low"
"3","current",2945681051.10602,120328.714426708,0,0,0,"all_all_all_cost.ifast.U","low"
"4","iFAST",2944109044.56261,120142.733907369,-1572006.54340792,185.980519339428,5291616.93019647,"all_all_all_cost.ifast.U","low"
"5","current",2273809552.60435,120328.714426708,0,0,0,"all_all_all_cost.bed.general","low"
"6","iFAST",2273326322.22729,120142.733907369,-483230.377053738,185.980519339428,4202840.76384229,"all_all_all_cost.bed.general","low"
"7","current",2879381974.39907,120328.714426708,0,0,0,"all_all_all_cost.bed.icu","low"
"8","iFAST",2878808682.08456,120142.733907369,-573292.314507008,185.980519339428,4292902.70129556,"all_all_all_cost.bed.icu","low"
"9","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_all_all_prop.uti.icu","low"
"10","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"uncomplicated_all_all_prop.uti.icu","low"
"11","current",2922225018.89003,120328.714426708,0,0,0,"complicated_IV_all_all_prop.uti.icu","low"
"12","iFAST",2921627535.21497,120142.733907369,-597483.675066948,185.980519339428,4317094.0618555,"complicated_IV_all_all_prop.uti.icu","low"
"13","current",2922233477.48047,120328.714426708,0,0,0,"complicated_oral_all_all_prop.uti.icu","low"
"14","iFAST",2921641944.38908,120142.733907369,-591533.091389656,185.980519339428,4311143.47817821,"complicated_oral_all_all_prop.uti.icu","low"
"15","current",2945463063.52409,120328.714426708,0,0,0,"all_all_all_prop.bsi.icu","low"
"16","iFAST",2944857010.79772,120142.733907369,-606052.726372719,185.980519339428,4325663.11316127,"all_all_all_prop.bsi.icu","low"
"17","current",2945681051.10602,120649.585290453,0,0,0,"all_all_all_r.multip.mort","low"
