"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit","t.ifast","cost.ifast.U","scenario"
"1","current",2945681051.10602,120328.714426708,0,0,0,2,1,NA
"2","iFAST",2941401386.68913,120124.556005194,-4279664.41688967,204.158421514541,8362832.84718049,2,1,NA
"3","current",2945681051.10602,120328.714426708,0,0,0,2,11,NA
"4","iFAST",2943865336.68913,120124.556005194,-1815714.41688967,204.158421514541,5898882.84718049,2,11,NA
"5","current",2945681051.10602,120328.714426708,0,0,0,2,21,NA
"6","iFAST",2946329286.68913,120124.556005194,648235.583110332,204.158421514541,3434932.84718049,2,21,NA
"7","current",2945681051.10602,120328.714426708,0,0,0,2,31,NA
"8","iFAST",2948793236.68913,120124.556005194,3112185.58311033,204.158421514541,970982.847180493,2,31,NA
"9","current",2945681051.10602,120328.714426708,0,0,0,2,41,NA
"10","iFAST",2951257186.68913,120124.556005194,5576135.58311033,204.158421514541,-1492967.15281951,2,41,NA
"11","current",2945681051.10602,120328.714426708,0,0,0,12,1,NA
"12","iFAST",2941547840.84992,120169.713176197,-4133210.25609827,159.001250510992,7313235.2663181,12,1,NA
"13","current",2945681051.10602,120328.714426708,0,0,0,12,11,NA
"14","iFAST",2944011790.84992,120169.713176197,-1669260.25609827,159.001250510992,4849285.2663181,12,11,NA
"15","current",2945681051.10602,120328.714426708,0,0,0,12,21,NA
"16","iFAST",2946475740.84992,120169.713176197,794689.74390173,159.001250510992,2385335.2663181,12,21,NA
"17","current",2945681051.10602,120328.714426708,0,0,0,12,31,NA
"18","iFAST",2948939690.84992,120169.713176197,3258639.74390173,159.001250510992,-78614.7336818962,12,31,NA
"19","current",2945681051.10602,120328.714426708,0,0,0,12,41,NA
"20","iFAST",2951403640.84992,120169.713176197,5722589.74390173,159.001250510992,-2542564.7336819,12,41,NA
"21","current",2945681051.10602,120328.714426708,0,0,0,22,1,NA
"22","iFAST",2941691572.35822,120213.922805544,-3989478.74780083,114.791621164142,6285311.17108367,22,1,NA
"23","current",2945681051.10602,120328.714426708,0,0,0,22,11,NA
"24","iFAST",2944155522.35822,120213.922805544,-1525528.74780083,114.791621164142,3821361.17108367,22,11,NA
"25","current",2945681051.10602,120328.714426708,0,0,0,22,21,NA
"26","iFAST",2946619472.35822,120213.922805544,938421.252199173,114.791621164142,1357411.17108367,22,21,NA
"27","current",2945681051.10602,120328.714426708,0,0,0,22,31,NA
"28","iFAST",2949083422.35822,120213.922805544,3402371.25219917,114.791621164142,-1106538.82891633,22,31,NA
"29","current",2945681051.10602,120328.714426708,0,0,0,22,41,NA
"30","iFAST",2951547372.35822,120213.922805544,5866321.25219917,114.791621164142,-3570488.82891633,22,41,NA
"31","current",2945681051.10602,120328.714426708,0,0,0,NA,NA,"deterministic"
"32","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,NA,NA,"deterministic"
