"","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","Net Monetary Benefit","scenario"
"current",200827028.797528,11029.3962479433,NA,NA,NA,"1664 f base uncomplicated"
"iFAST",200821155.871602,11010.2196006737,-5872.92592576146,19.1766472696072,389405.871317905,"1664 f base uncomplicated"
"current1",170203356.926586,8168.53722970034,NA,NA,NA,"1664 m base uncomplicated"
"iFAST1",170183292.010565,8159.36204709377,-20064.916020155,9.17518260657562,203568.568151667,"1664 m base uncomplicated"
"current2",1109542858.69964,42638.2704895673,NA,NA,NA,"65100 f base uncomplicated"
"iFAST2",1109416509.44533,42587.433434062,-126349.254304409,50.8370555052825,1143090.36441006,"65100 f base uncomplicated"
"current3",725185236.253749,34473.6575011406,NA,NA,NA,"65100 m base uncomplicated"
"iFAST3",725102683.137877,34432.6837157864,-82553.1158717871,40.9737853542683,902028.822957154,"65100 m base uncomplicated"
"current4",33783161.5551737,1377.02682188015,NA,NA,NA,"1664 f base complicated_IV"
"iFAST4",33768104.0079215,1372.72332290332,-15057.5472522303,4.30349897683664,101127.526788963,"1664 f base complicated_IV"
"current5",28592062.8054276,1019.29546930369,NA,NA,NA,"1664 m base complicated_IV"
"iFAST5",28581194.831876,1017.23638888312,-10867.9735515602,2.05908042057604,52049.5819630809,"1664 m base complicated_IV"
"current6",186385764.927686,5320.85556479578,NA,NA,NA,"65100 f base complicated_IV"
"iFAST6",186313835.510296,5309.44681965834,-71929.4173898399,11.4087451374371,300104.320138582,"65100 f base complicated_IV"
"current7",121851560.950939,4301.96710885493,NA,NA,NA,"65100 m base complicated_IV"
"iFAST7",121803659.574511,4292.77186188427,-47901.3764281273,9.19524697065663,231806.31584126,"65100 m base complicated_IV"
"current8",33631542.6239804,1375.39324976293,NA,NA,NA,"1664 f base complicated_oral"
"iFAST8",33606771.5169344,1369.19321514361,-24771.1070460528,6.20003461932379,148771.799432529,"1664 f base complicated_oral"
"current9",28490873.3364416,1017.53714394681,NA,NA,NA,"1664 m base complicated_oral"
"iFAST9",28474432.4500203,1014.57056906321,-16440.8864213452,2.96657488359563,75772.3840932577,"1664 m base complicated_oral"
"current10",185788856.146655,5311.99539499232,NA,NA,NA,"65100 f base complicated_oral"
"iFAST10",185677263.560607,5295.5585382603,-111592.586048454,16.4368567320207,440329.720688868,"65100 f base complicated_oral"
"current11",121398748.082218,4294.78220482023,NA,NA,NA,"65100 m base complicated_oral"
"iFAST11",121326011.04507,4281.53439395696,-72737.0371485054,13.2478108632658,337693.254413822,"65100 m base complicated_oral"
