"","IncrementalCost","IncrementalQALYGain","Net Monetary Benefit","scenario"
"iFAST",-2.591,0.0000311,3.213,"1664 f low_trim uncomplicated"
"iFAST1",-2.012,0.00002588,2.529,"1664 m low_trim uncomplicated"
"iFAST2",-2.091,0.00002086,2.508,"65100 f low_trim uncomplicated"
"iFAST3",-2.085,0.00002579,2.601,"65100 m low_trim uncomplicated"
"iFAST4",-6.43,0.00005585,7.547,"1664 f low_trim complicated_IV"
"iFAST5",-4.973,0.00004647,5.902,"1664 m low_trim complicated_IV"
"iFAST6",-5.164,0.00003746,5.913,"65100 f low_trim complicated_IV"
"iFAST7",-5.157,0.00004631,6.083,"65100 m low_trim complicated_IV"
"iFAST8",-9.313,0.00008047,10.92,"1664 f low_trim complicated_oral"
"iFAST9",-7.192,0.00006696,8.531,"1664 m low_trim complicated_oral"
"iFAST10",-7.477,0.00005397,8.556,"65100 f low_trim complicated_oral"
"iFAST11",-7.459,0.00006673,8.793,"65100 m low_trim complicated_oral"
