"",".id","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit"
"1",1,"current",2672700542.70628,125213.249093403,0,0,0
"2",1,"iFAST",2671483040.50127,124742.9337021,-1217502.20501614,470.315391303579,10623810.0310877
"3",2,"current",3360120698.26315,122623.888644922,0,0,0
"4",2,"iFAST",3355711152.32056,122324.642699878,-4409545.94259071,299.245945044298,10394464.8434767
"5",3,"current",4628362468.33251,127229.652665906,0,0,0
"6",3,"iFAST",4627362326.23525,126759.114382391,-1000142.09726143,470.538283515154,10410907.7675645
"7",4,"current",3058596611.2656,130689.386827749,0,0,0
"8",4,"iFAST",3058652753.53167,130393.09116442,56142.2660675049,296.295663329045,5869771.0005134
"9",5,"current",2733171648.56399,114225.229294175,0,0,0
"10",5,"iFAST",2729010309.16515,113960.234675896,-4161339.39884424,264.994618279306,9461231.76443037
"11",6,"current",3937768908.10306,134688.282057315,0,0,0
"12",6,"iFAST",3933839631.03465,134449.753202655,-3929277.06841087,238.528854660573,8699854.16162234
"13",7,"current",3268945341.48707,132681.304541081,0,0,0
"14",7,"iFAST",3266731741.91819,132061.255301401,-2213599.56888914,620.049239680113,14614584.3624914
"15",8,"current",2949335784.54303,119099.792589203,0,0,0
"16",8,"iFAST",2948291019.83729,118996.515793698,-1044764.70573997,103.276795504746,3110300.61583489
"17",9,"current",3070997456.67955,109723.223162417,0,0,0
"18",9,"iFAST",3066530204.24996,108909.908479283,-4467252.42959309,813.314683134682,20733546.0922867
"19",10,"current",2938638396.48048,122680.480384453,0,0,0
"20",10,"iFAST",2937604943.26801,122142.171836849,-1033453.21247005,538.308547604145,11799624.164553
"21",11,"current",2879376375.58378,108251.673957999,0,0,0
"22",11,"iFAST",2876812838.93928,108256.126229087,-2563536.6444993,-4.45227108769177,2474491.22274547
"23",12,"current",3695157585.00292,114108.790889239,0,0,0
"24",12,"iFAST",3696512642.74312,113889.356887797,1355057.74020672,219.434001441521,3033622.2886237
"25",13,"current",3018830939.0092,123167.659599379,0,0,0
"26",13,"iFAST",3019898946.14482,123053.50580105,1068007.13561821,114.153798329266,1215068.8309671
"27",14,"current",3124447066.07569,117320.644231023,0,0,0
"28",14,"iFAST",3123276575.14928,116728.822063051,-1170490.92641497,591.82216797155,13006934.285846
"29",15,"current",2559927146.79358,113237.005775507,0,0,0
"30",15,"iFAST",2560087825.7531,113202.352152385,160678.959516525,34.653623121776,532393.502918995
"31",16,"current",3292262357.12091,111523.87983595,0,0,0
"32",16,"iFAST",3293113337.52287,110984.912100199,850980.401961803,538.967735751299,9928374.31306418
"33",17,"current",4353343658.71318,130187.644246076,0,0,0
"34",17,"iFAST",4350687490.75931,130077.860992213,-2656167.95386505,109.783253863017,4851833.0311254
"35",18,"current",2895345661.08125,114602.910544475,0,0,0
"36",18,"iFAST",2894310701.18321,114125.125318718,-1034959.89803505,477.785225757296,10590664.413181
"37",19,"current",3406973843.82055,115748.154754877,0,0,0
"38",19,"iFAST",3408700968.25455,115710.134840779,1727124.4340024,38.0199140977056,-966726.152048287
"39",20,"current",2945128420.22143,121290.987278024,0,0,0
"40",20,"iFAST",2944334627.92373,120788.959806884,-793792.297697544,502.027471139896,10834341.7204955
"41",21,"current",4774881077.42165,114185.080756528,0,0,0
"42",21,"iFAST",4774696588.62605,114115.969085991,-184488.795599937,69.1116705367458,1566722.20633485
"43",22,"current",3078198388.29822,123727.472774586,0,0,0
"44",22,"iFAST",3074243383.30692,121983.170076207,-3955004.99129486,1744.30269837895,38841058.9588738
"45",23,"current",2502805721.16591,120536.205274414,0,0,0
"46",23,"iFAST",2501634612.71618,118962.734570566,-1171108.44972754,1573.4707038487,32640522.5267015
"47",24,"current",2685374715.73571,139275.453095046,0,0,0
"48",24,"iFAST",2685988329.3361,139060.902725161,613613.60038805,214.550369884702,3677393.797306
"49",25,"current",3454392313.28848,112478.399445566,0,0,0
"50",25,"iFAST",3452356008.70664,112407.464752994,-2036304.58184004,70.9346925720747,3454998.43328153
"51",26,"current",4424323307.31788,111594.993442095,0,0,0
"52",26,"iFAST",4416599529.80064,111587.481243262,-7723777.51724529,7.51219883236627,7874021.49389262
"53",27,"current",3275416200.97942,135709.179318717,0,0,0
"54",27,"iFAST",3277560306.39907,135708.555076548,2144105.41965342,0.62424216902582,-2131620.5762729
"55",28,"current",3218120848.86573,116898.136559831,0,0,0
"56",28,"iFAST",3216483545.008,116908.098385886,-1637303.85772228,-9.96182605523791,1438067.33661752
"57",29,"current",3154838266.3895,128193.67672677,0,0,0
"58",29,"iFAST",3154151177.8053,128139.638504448,-687088.584196091,54.0382223216002,1767853.03062809
"59",30,"current",3595586506.30909,109572.098417412,0,0,0
"60",30,"iFAST",3595164140.90871,109532.711295326,-422365.400380135,39.3871220863803,1210107.84210774
"61",31,"current",2916593486.3782,114370.952452912,0,0,0
"62",31,"iFAST",2915552937.38134,114181.425702955,-1040548.9968586,189.526749957135,4831083.99600129
"63",32,"current",3224555631.6808,135231.17285029,0,0,0
"64",32,"iFAST",3223096379.06498,134782.758477514,-1459252.61582088,448.414372775733,10427540.0713355
"65",33,"current",3979873735.75517,106281.644035523,0,0,0
"66",33,"iFAST",3981549525.71395,106489.269913262,1675789.95877075,-207.625877739541,-5828307.51356158
"67",34,"current",3815205398.34015,116403.325988598,0,0,0
"68",34,"iFAST",3812147267.65509,116360.371269601,-3058130.68506575,42.9547189973673,3917225.06501309
"69",35,"current",3963532685.59844,106008.854434593,0,0,0
"70",35,"iFAST",3961195783.47354,105979.458516222,-2336902.12490034,29.3959183714178,2924820.4923287
"71",36,"current",3128051497.37527,108694.950566832,0,0,0
"72",36,"iFAST",3126935388.15511,108455.236464902,-1116109.22015429,239.714101929363,5910391.25874155
"73",37,"current",2821046030.92759,127160.719920546,0,0,0
"74",37,"iFAST",2821656494.14963,126568.435779406,610463.222038746,592.284141140641,11235219.6007741
"75",38,"current",3338271602.44676,129801.051607939,0,0,0
"76",38,"iFAST",3336380140.32783,129416.656772195,-1891462.11892748,384.3948357435,9579358.83379748
"77",39,"current",2770863995.9262,122452.10064668,0,0,0
"78",39,"iFAST",2771346136.48856,122183.274968686,482140.562355042,268.825677994028,4894372.99752551
"79",40,"current",2931468905.70655,109061.890163135,0,0,0
"80",40,"iFAST",2931245203.67029,109069.64939549,-223702.036260605,-7.75923235500522,68517.3891605004
"81",41,"current",3504328326.84066,112047.161692973,0,0,0
"82",41,"iFAST",3503085258.65239,111757.086443138,-1243068.18827009,290.075249835005,7044573.18497019
"83",42,"current",3401416675.92296,96590.3333335327,0,0,0
"84",42,"iFAST",3400538257.55226,96417.5969492442,-878418.370701313,172.736384288553,4333146.05647238
"85",43,"current",3618362422.41104,112149.366499529,0,0,0
"86",43,"iFAST",3621275897.38832,112201.446449579,2913474.97727394,-52.0799500501016,-3955073.97827597
"87",44,"current",3661717620.67396,111434.57599878,0,0,0
"88",44,"iFAST",3661640737.97297,111391.535390863,-76882.7009825706,43.0406079164968,937694.859312507
"89",45,"current",3376363044.25255,118937.888020834,0,0,0
"90",45,"iFAST",3373404794.97815,118834.634817392,-2958249.27439976,103.253203441389,5023313.34322754
"91",46,"current",2646074063.89498,135914.324322988,0,0,0
"92",46,"iFAST",2644466624.07043,135493.701432139,-1607439.82454681,420.622890849132,10019897.6415295
"93",47,"current",2962988313.06761,129650.483867987,0,0,0
"94",47,"iFAST",2961427149.80221,129478.126213434,-1561163.26540279,172.357654552543,5008316.35645365
"95",48,"current",2585835385.55259,120201.695980052,0,0,0
"96",48,"iFAST",2581789513.58085,120047.5370543,-4045871.97174549,154.158925752359,7129050.48679268
"97",49,"current",3006862569.29732,131088.609511709,0,0,0
"98",49,"iFAST",3006735389.32929,130962.445423514,-127179.968034267,126.164088195306,2650461.73194039
"99",50,"current",3069727427.53709,129927.819891091,0,0,0
"100",50,"iFAST",3071827781.53914,130256.295800064,2100354.0020504,-328.47590897289,-8669872.18150821
"101",51,"current",2919650928.24367,125011.78612978,0,0,0
"102",51,"iFAST",2919159025.94627,124453.157673786,-491902.297394276,558.628455993457,11664471.4172634
"103",52,"current",2701699724.93204,124240.729202864,0,0,0
"104",52,"iFAST",2702022820.93794,124172.069237064,323096.005898952,68.6599657997576,1050103.3100962
"105",53,"current",3354166488.83903,120225.007436245,0,0,0
"106",53,"iFAST",3351193315.33011,119337.478761095,-2973173.5089221,887.528675150388,20723747.0119299
"107",54,"current",3070503454.30477,126411.062846054,0,0,0
"108",54,"iFAST",3068825849.8164,125200.886740715,-1677604.48837376,1210.17610533864,25881126.5951466
"109",55,"current",3734210535.84627,115554.17185166,0,0,0
"110",55,"iFAST",3729970232.17427,114881.21240226,-4240303.67200232,672.959449399743,17699492.6599972
"111",56,"current",3243856758.99802,128649.767851426,0,0,0
"112",56,"iFAST",3246440087.65267,128625.364628373,2583328.65465069,24.4032230531157,-2095264.19358838
"113",57,"current",4509809502.89457,125569.696633841,0,0,0
"114",57,"iFAST",4509704207.59578,125361.705177171,-105295.298796654,207.991456669784,4265124.43219234
"115",58,"current",3209273109.22864,124140.280667111,0,0,0
"116",58,"iFAST",3206641407.73261,123242.824246909,-2631701.49603271,897.456420201503,20580829.9000628
"117",59,"current",3760754253.67932,124384.714528995,0,0,0
"118",59,"iFAST",3760846681.73719,123986.901621449,92428.0578718185,397.812907545609,7863830.09304036
"119",60,"current",4256203511.00597,122965.223166587,0,0,0
"120",60,"iFAST",4255079479.6796,122957.367030695,-1124031.3263669,7.85613589191053,1281154.04420511
"121",61,"current",2403500499.89638,126970.674951528,0,0,0
"122",61,"iFAST",2404097796.64899,126926.242952464,597296.752607346,44.4319990635267,291343.228663189
"123",62,"current",2338379547.49686,103020.51121119,0,0,0
"124",62,"iFAST",2335407888.24355,102165.470600873,-2971659.25330877,855.040610317679,20072471.4596624
"125",63,"current",2629553008.99134,129709.54470081,0,0,0
"126",63,"iFAST",2627854951.76006,129586.197846653,-1698057.23127556,123.34685415744,4164994.31442436
"127",64,"current",3438730632.77508,129666.299669364,0,0,0
"128",64,"iFAST",3439719553.77564,129222.720941554,988921.000562668,443.578727809654,7882653.55563041
"129",65,"current",3433100718.02241,128312.405746228,0,0,0
"130",65,"iFAST",3429867677.437,128009.770030279,-3233040.58541203,302.6357159498,9285754.90440803
"131",66,"current",2593472890.91779,134190.130998886,0,0,0
"132",66,"iFAST",2595081615.55317,134228.543828413,1608724.63538313,-38.4128295268456,-2376981.22592004
"133",67,"current",3496063279.94197,117810.058298844,0,0,0
"134",67,"iFAST",3494285087.31792,117690.43156887,-1778192.62405014,119.626729974218,4170727.22353449
"135",68,"current",4049780333.25717,129059.290394697,0,0,0
"136",68,"iFAST",4049223376.35104,128864.011420619,-556956.906128883,195.278974078115,4462536.38769119
"137",69,"current",2699580603.03882,113947.445494968,0,0,0
"138",69,"iFAST",2697202757.98021,113539.814992158,-2377845.05860949,407.630502810236,10530455.1148142
"139",70,"current",3478639646.5998,136493.718466935,0,0,0
"140",70,"iFAST",3476985204.94065,135859.12964166,-1654441.65915346,634.588825275801,14346218.1646695
"141",71,"current",2819364803.72748,103331.759170367,0,0,0
"142",71,"iFAST",2820362230.66345,103257.877427329,997426.935968399,73.8817430376221,480207.924784042
"143",72,"current",2689613170.32179,140236.569906627,0,0,0
"144",72,"iFAST",2691158489.35797,140013.803029251,1545319.03617239,222.766877375194,2910018.51133149
"145",73,"current",3085868025.06363,114748.788535491,0,0,0
"146",73,"iFAST",3086632266.03032,114902.706909637,764240.96668148,-153.918374145593,-3842608.44959333
"147",74,"current",3382692673.6748,113019.300006893,0,0,0
"148",74,"iFAST",3383276177.66839,112905.031146821,583503.993587971,114.268860071767,1701873.20784736
"149",75,"current",3532055220.95568,126690.385967933,0,0,0
"150",75,"iFAST",3532121812.2585,126582.430213578,66591.3028240204,107.955754354509,2092523.78426616
"151",76,"current",3353169997.04416,112895.522516916,0,0,0
"152",76,"iFAST",3349823203.19682,112345.756584161,-3346793.84733963,549.765932754264,14342112.5024249
"153",77,"current",3502956568.85541,120195.874715853,0,0,0
"154",77,"iFAST",3496116317.20468,120142.30213464,-6840251.65073442,53.5725812131714,7911703.27499785
"155",78,"current",3333123016.3605,122197.509676068,0,0,0
"156",78,"iFAST",3331803150.72675,121689.723253794,-1319865.63375092,507.786422274934,11475594.0792496
"157",79,"current",2965675282.17353,108914.662128421,0,0,0
"158",79,"iFAST",2963498013.48488,108867.855638256,-2177268.68865585,46.8064901656762,3113398.49196938
"159",80,"current",3486035045.21419,121726.056415168,0,0,0
"160",80,"iFAST",3485018091.73911,120825.753665889,-1016953.47507954,900.302749279115,19023008.4606618
"161",81,"current",4013962260.29731,111766.40141243,0,0,0
"162",81,"iFAST",4016621510.1542,111822.141203619,2659249.85688639,-55.739791188942,-3774045.68066523
"163",82,"current",3976039289.5399,135835.094128905,0,0,0
"164",82,"iFAST",3974894955.89968,135699.746071888,-1144333.64021587,135.348057017138,3851294.78055863
"165",83,"current",2816258087.26777,120291.443250987,0,0,0
"166",83,"iFAST",2814280185.56955,119999.422418276,-1977901.69821692,292.020832710768,7818318.35243228
"167",84,"current",3900142101.95455,114709.567062522,0,0,0
"168",84,"iFAST",3899968090.23454,114693.809307538,-174011.720003605,15.7577549841371,489166.819686348
"169",85,"current",3359011024.17649,135937.683721007,0,0,0
"170",85,"iFAST",3359214905.79635,135588.674302883,203881.619856358,349.009418123314,6776306.74260993
"171",86,"current",3255513170.27289,109368.638346344,0,0,0
"172",86,"iFAST",3255283047.99314,109360.249659213,-230122.279745102,8.38868713111151,397896.022367332
"173",87,"current",3074692113.32276,124538.743094363,0,0,0
"174",87,"iFAST",3074622478.09719,124314.566302064,-69635.2255649567,224.176792298182,4553171.07152859
"175",88,"current",4322272962.95438,121200.17917215,0,0,0
"176",88,"iFAST",4322260179.31261,120943.425876122,-12783.6417732239,256.753296028037,5147849.56233396
"177",89,"current",3900382591.39254,115307.194360365,0,0,0
"178",89,"iFAST",3899129684.48317,115250.416393236,-1252906.90936804,56.7779671296012,2388466.25196006
"179",90,"current",3110673340.2941,112696.950202851,0,0,0
"180",90,"iFAST",3106822044.7772,111745.4544894,-3851295.51689291,951.495713450888,22881209.7859107
"181",91,"current",3516752674.96858,121978.833475924,0,0,0
"182",91,"iFAST",3511780495.50203,121253.084423038,-4972179.46655369,725.749052886546,19487160.5242846
"183",92,"current",3428203337.99498,116608.679169387,0,0,0
